Index,Title,Summary,Full Text,Url
1,HC refuses to stop Goswami from reporting on Pushkar's death,The Delhi High Court on Friday refused to restrain journalist Arnab Goswami and his news channel Republic TV from airing news on Congress MP Shashi Tharoor's wife Sunanda Pushkar's death. The court also asked Goswami and Republic TV to send an advance notice to Tharoor for his views before airing any news in connection with Pushkar's death case.,"The Delhi High Court on Friday refused to restrain journalist Arnab Goswami and his Republic TV from airing news about Congress MP Shashi Tharoor's wife Sunanda Pushkar's death case. The High Court also said that the press has to exercise care and caution while reporting about matters under investigation or pending trial, the Live Law reported. Every individual has a right to silence. He cannot be forced or compelled to speak on the issue, Justice Manmohan said. The court's order came on three different applications filed by Tharoor in his Rs 2 crore defamation suit against Goswami and the channel for allegedly making defamatory remarks against him while airing news relating to the mysterious death of his wife. Earlier in September, the Delhi High Court refrained from passing any interim order restraining Goswami and his news channel from airing any news or debate in connection with Pushkar's death case. Justice Manmohan had issued notice to Goswami and sought their responses on Tharoor's plea to restrain them from allegedly misreporting the contents of court proceedings related to Pushkar's death. It had also observed that the Congress leader has not shown any law by which investigation cannot be done by the journalist. Show me that after the first date of hearing, he (Goswami) has called you a murderer, the judge said, adding I cannot dictate what should be the editorial policy of a news channel. The Congress leader has alleged that after the last date of hearing on August 16, the journalist and his channel continued to indulge in misreporting and had broadcast an 8-hour programme on September 4 related to his wife's death. Sunanda Pushkar was found dead at a suite in a five star hotel in South Delhi on the night of January 17, 2014. Tharoor said the said channel's broadcast was a bid to establish itself. The media has very important role as a witness but the media doesn't have a role of being a prosecutor, a judge or an executioner. The Thiruvananthapuram MP said he had nothing to hide and had been fully cooperative with the police. Earlier this year, the head of All India Institutes of Medical Sciences (AIIMS) forensic department, Sudhir Gupta had confirmed that the death of Sunanda Pushkar Tharoor was unnatural and caused due to poisoning. We clearly said that this is a case of poisoning. This has been clearly stated in the opinion. This opinion has been made and formed on the basis of circumstantial evidence where certain drugs and poison have been recovered by Delhi police itself, Gupta told ANI.",https://www.outlookindia.com/website/story/delhi-hc-refuses-to-restrain-arnab-goswami-republic-tv-from-airing-news-about-su/305034?utm_campaign=awesummly&utm_source=awesummly
2,Kohli responds to Miss World Manushi's question on cricket,"Miss World 2017 Manushi Chhillar praised Indian captain Virat Kohli, calling him an inspiration and asked him how he would give back to children in the field of cricket. Kohli replied, ""[W]hen you do what you do... it has to be genuine... Otherwise, people find out that you are trying to pretend and they can never connect to you.""","It's nearly been a decade since Virat Kohli made his international debut and if there's one thing he has been consistent at, it's his ability to score big run. While a number of records have been set and broken, his aggressive outlook has also injected a sense of belief in the side. While there are quite a few fans and followers who look up to him for inspiration, at an awards show recently, he met yet another youth icon who had a special question for the swashbuckling Indian skipper. It came from Manushi Chhillar, the newly crowned Miss World, who brought back the title to India after 17 years. The two shared the stage at the CNN-IBN Indian of the Year 2017 Awards night and Chhillar took up the opportunity to ask Kohli: You are one of the best batsman in the world today and you've been such an inspiration. You've really given back to the society. But there are a lot of young people who draw inspiration from you. The Indian cricket team skipper replied: Well, what's very important to understand is when you do what you do and you express yourself on the field, it has to be genuine and it has to be from the heart. Otherwise if people find out that you're trying to pretend, then they can never connect to you. I've never tried to be anyone else. I've always been myself; I always mention that people had a lot of issues with how I was, how I conducted myself, but I had never had any problems with that. Kohli had presented Chillar with a special achievement award as well. The moment I started to think that I need to change, is the only time I changed. Everyone has to go through a mutual process to be where they get to in life to become more mature. What's very important to understand is one should never lose their own identity, character and personality because if you try to be someone else you can never succeed, and you can never inspire others. The one thing that I believe in is that there's something much stronger that's making us do what we do. We ourselves don't have the ability to go out there, score runs and take wickets all the time. We must believe that everyone has a plan and that plan has been executed for them at the time they are in, and all they can do is work hard, no one can change the plan, what we can do is work hard and be honest with ourselves.",http://www.hindustantimes.com/cricket/virat-kohli-s-reply-to-manushi-chillar-s-question-is-taking-internet-by-storm/story-G84DRXkgD30XDbY7tK0RKN.html?utm_campaign=awesummly&utm_source=awesummly
3,Ex-PM Singh laid foundation of modern Indian economy: Obama,"Addressing a summit in Delhi, Former US President Barack Obama hailed former Indian Prime Minister Manmohan Singh, saying he laid the foundation of modern Indian economy. ""I was also great friends with Dr Singh...[He] was the primary partner while we were working during the financial meltdown,"" Obama said, adding PM Narendra Modi was the partner while making the Paris Accord.","Former US president Barack Obama discussed India's role in the international arena and his relationship with Prime Minister Narendra Modi even as he spoke about the dangers of technology on Friday. Obama opened Day 2 of the 15th edition of the Hindustan Times Leadership Summit 2017, hailing India-US ties. The former US president also talked about a partnership between the world's oldest democracy and the world's largest democracy. We can help chart course for a better future, especially when democracy is itself being questioned, he said. Click here to know more about HTLS speakers. Click here to see the full schedule. We have to remind ourselves, we make progress because people of good will work and struggle together. All the institutions, values are things we can't take for granted. The cacophony of America is what I love about the country. The political trends are a thread of life. One of the joys and frustrations about America is that it can be contradictory. We can be kind and cruel. I think it's the same with India: Obama. 12:24pm: I use punctuation in my text, says Obama about how he tweets. His comment comes in the background of US President Donald Trump kicking up storms on Twitter over controversial posts. I have more Twitter followers than some people who use it more often. 12:19pm: Tools on social media platforms can be good or bad. One of the challenges is that technology can influence snap judgements about complex decisions. One of the dangers is that instead of deep analysis and evaluation, the new citizen is skimming the surface. The sizzle and not the steak: Obama. If I read Fox News, I wouldn't vote for me. 12:16pm: Both of them were sound leaders, says Obama on PM Modi and former prime minister Manmohan Singh. Dr Singh was the primary partner while we were working during the financial meltdown. PM Modi was the primary partner during making of Paris accord. I like him, replies Obama, adding: I think he has a vision for the country. He is modernising elements of bureaucracy. I was also great friends with Dr (Manmohan) Singh. When you look at the steps Dr Singh took to modernising the economy; it was the foundation for modernising Indian economy: Obama. 12:12pm: We had no evidence that Pakistani government was aware of Osama bin Laden's presence in Abbottabad. We obviously looked at it: Obama. It is very important for you to stop making comments from my side, Obama jokes. 12:11pm: Although Pakistan has been a partner in many ways, it's also true there are elements that have not been good partners with us, says Obama. He refuses to name the elements. 12:10pm: After 26/11, we (US) were as obsessed with dismantling the terror network as India. Terrorism of any sort, directed at any country metastasises. 12:08pm: We worked very hard to get India into the Nuclear Supply Group, we did not get the cooperation of every country, says Barack Obama. 12:03pm: On the nuclear reliability act with India, Barack Obama says his goal was to give US companies an opportunity, not to ensure that their deal goes through. 12 noon: Politicians are often reflections of forces in the society. ' If communities across India say they won't fall prey to division, then it will strengthen the hand of politicians who feel that way: Obama. 11:59am: How did PM Modi respond, asks Karan Thapar. My goal here is not to disclose every private conversation I have. I think his impulses are to recognise Indian unity. I think he (Modi) firmly believes unity is necessary for the progress of the nation, says Obama. 11:58am: Particularly in a country like India, you have such a huge Muslim population that feels integrated. And that is unfortunately not always the case in other countries. That is something that should be cherished and nurtured. 11:56am: It was a message to everyone. I have said the same thing privately to PM Modi. It's happening across the world due to the changes taking place. There's a collision of cultures: Obama explains his previous statements on tolerance and freedom of faith. Obama says his message of diversity in 2015 was for all people; he also mentioned it privately to PM Modi. 11:54am: Ah, no, making a chapati is too hard, says Obama on knowing how to make roti. 11:52am: I'm pretty sure I'm the first US president to have the dal recipe. My chicken is okay, Obama quips. 11:51am: Obama jokes about telling his daughters what Indians think of him after chair Karan Thapar tells him about a research that found majority of Indian citizens think favourably of Obama. 11:50am: If India and US are working together, I believe there is no problem we cannot solve, Obama says, concluding his speech. 11:48am: For those who believe in democracy have to speak out on issues. And that's why I am speaking as a private citizen, says Obama. 11:45am: Obama says he is obsessed about the role of technology in this age of information and its impact on the younger generations. We have to recognise how technology is changing how the youth is consuming information. It is easier to retreat into our bubbles. 11:43am: We have to work in a multilateral manner. I appreciated the critical role PM Modi and India played in forging the Paris climate deal, says Obama. It is a deal even though we have pause in American leadership. 11:41am: We can't pretend automation doesn't exist, we can't ignore globalisation. But we can invest in our people's skills. We still need to do more to close the gap between rich and poor nations: Obama. 11:40am: Modi and I met an unprecedented 9 times. All our challenges will be met when India plays a major role on the world stage: Obama. 11:39am: The partnership between the world's oldest and largest democracies is a defining one, says Obama on India-US ties. There are millions of Indian Americans making extraordinary contributions, building bridge between our countries. America and India are alike being defined by many different languages, dialects genders and orientations. 11:36am: Speaking about the negative impact of technology, Obama says it makes people want to try and find stability amid all the changes. We've gone through moments like this before. It's important for us to push back against the politics of us vs them. We have to build on what is in common between us. Our history together speaks about a common set of values - pluralism and tolerance, a liberal market based order that places primacy on individual rights: 11:34am: The world, by most measures, is less violent than human history although conflict remains: Obama. 11:33am: The international order we have sacrificed so much to retain has become increasingly strained. Globalisation, terrorism, inequality have led to that: Obama. 11:32am: America and India are defined by diversity, Obama says, asserting: We have much in common. 11:31am: Recounting his visits to India, Obama says he was proud to be the only US president to visit India twice while he was in office. Michelle resents that I did not bring her on this trip. 11:30am: Barack Obama begins his speech. It's wonderful to be back in Delhi. 11:25am: Barack Obama arrives at the summit venue. 11:20am: This will be Barack Obama's first address in India since his tenure ended as US president earlier this year. 11:07am: Supermodel Naomi Campbell, Reliance's Mukesh Ambani and Congress vice-president Rahul Gandhi are in attendance. Ambani and Campbell will be speaking after Obama's address on Friday. 11am: The special address by former US president Barack Obama will begin shortly. Highlights from Day 1 of HTLS. Bollywood star Salman Khan was at his witty best despite a sore throat at HTLS 2017. During the final session of Day 1, Khan said he led a very boring life and it was only journalists who made his life sound interesting. Besides that, he waltzed around the bouncers and dodged around difficult questions, clarifying his political correctness at the beginning of the session. On Day 1 of HTLS 2017, founders of three Indian startups discussed their strategies as successful entrepreneurs. Their approaches: a sense of purpose, believing you are Superman, and the ability to juggle ticking time bombs. Speaking at HTLS 2017, finance minister Arun Jaitley said government spending on infrastructure and rural sectors will be the focus areas in next year's Union Budget as he ruled out privatisation of state-run banks. He also hinted that the GST council could consider merging slabs of 12% and 18% into one rate and cutting the number of items taxed at the highest slab of 28%. Cancer specialists Dr Ahutosh K Tewari and Dr Madhav Dhodapkar, at the Hindustan Times Leadership Summit, agreed that lifestyle changes play a major role in preventing the disease. They set the tone for the session, titled 'How to beat cancer', with the suggestion that India should open itself to a more honest conversation on the disease. Regional food, poetry and the changing world food scenario were on the menu as chefs Vikas Khanna and Gaggan Anand cooked up a storm at the 15th edition of the Hindustan Times Leadership Summit on Thursday. Tempered with wit, India's very own Michelin Star chef Khanna and Kolkata-born and Bangkok-based restaurateur Anand had the audience eating out of their hands. The chief executive of Afghanistan, Abdullah Abdullah, thanked New Delhi for its generosity at the 15th Hindustan Times Leadership Summit and said its soft power and collaboration was the reason why India is a rising world power.",http://www.hindustantimes.com/htls/ht-leadership-summit-2017-day-2-live-barack-obama-mukesh-ambani-yogi-adityanath-speak-today/story-5Qqoble01B436gkPKu5WGN.html?utm_campaign=awesummly&utm_source=awesummly
4,Patna DIG ceases 70 SHO's salaries for negligence in work,"Patna DIG Rajesh Kumar has ordered to cease 70 Station House Officers' (SHOs) salaries for the month of November for showing indiscipline and negligence in their work. This came after Kumar held a meeting to review the law and order situation, wherein he found that several cases were reported but no breakthrough or arrest was made in last one week. ","In an exemplary punishment to erring cops, Patna DIG Rajesh Kumar has ordered of cease 70 Station House Officers' (SHOs) salaries in Patna district for the month of November. The order was issued after an angry DIG found that none of the police officers made any breakthrough or a single arrest in their jurisdiction despite several cases of crime reported in last one week. Rajesh Kumar had recently held a meeting to review the law and order situation in Patna and found that there have been multiple cases of murder, loot, dacoity and kidnapping that have happened in rural and urban parts of the city. Kumar had warned the senior cops to take actions and make arrests of the accused as most of the crime cases were high profile and the police headquarters was monitoring the investigations in these cases on a day to day basis. On Thursday, when Patna DIG held another round of meeting on law and order, he found that despite giving strict warning, the police officers made no effort to arrest any of the accused. An angry Rajesh Kumar said that the police officers had manifested indiscipline and negligence for their work and ordered to stop the salaries of 70 SHOs. DIG has also sought an explanation from 10 DSPs in Patna as to why the police officers in their jurisdiction made no arrest in last one week in cases of murder, loot and kidnapping.",http://indiatoday.intoday.in/story/raged-by-station-house-officers-negligence-work-patma-dig-stops-salaries-demands-explanation/1/1100953.html?utm_campaign=awesummly&utm_source=awesummly
5,Obama visits India for 1st time after leaving US presidency,"Ex-US President Barack Obama arrived in India on Thursday, for the first time since leaving White House this year. ""If India and US are working together, I believe there is no problem we cannot solve,"" Obama said on Friday while speaking at a summit in New Delhi. Obama is the only US President to visit India twice while holding office.","Former US president Barack Obama discussed India's role in the international arena and his relationship with Prime Minister Narendra Modi even as he spoke about the dangers of technology on Friday. Obama opened Day 2 of the 15th edition of the Hindustan Times Leadership Summit 2017, hailing India-US ties. The former US president also talked about a partnership between the world's oldest democracy and the world's largest democracy. We can help chart course for a better future, especially when democracy is itself being questioned, he said. Click here to know more about HTLS speakers. Click here to see the full schedule. We have to remind ourselves, we make progress because people of good will work and struggle together. All the institutions, values are things we can't take for granted. The cacophony of America is what I love about the country. The political trends are a thread of life. One of the joys and frustrations about America is that it can be contradictory. We can be kind and cruel. I think it's the same with India: Obama. 12:24pm: I use punctuation in my text, says Obama about how he tweets. His comment comes in the background of US President Donald Trump kicking up storms on Twitter over controversial posts. I have more Twitter followers than some people who use it more often. 12:19pm: Tools on social media platforms can be good or bad. One of the challenges is that technology can influence snap judgements about complex decisions. One of the dangers is that instead of deep analysis and evaluation, the new citizen is skimming the surface. The sizzle and not the steak: Obama. If I read Fox News, I wouldn't vote for me. 12:16pm: Both of them were sound leaders, says Obama on PM Modi and former prime minister Manmohan Singh. Dr Singh was the primary partner while we were working during the financial meltdown. PM Modi was the primary partner during making of Paris accord. I like him, replies Obama, adding: I think he has a vision for the country. He is modernising elements of bureaucracy. I was also great friends with Dr (Manmohan) Singh. When you look at the steps Dr Singh took to modernising the economy; it was the foundation for modernising Indian economy: Obama. 12:12pm: We had no evidence that Pakistani government was aware of Osama bin Laden's presence in Abbottabad. We obviously looked at it: Obama. It is very important for you to stop making comments from my side, Obama jokes. 12:11pm: Although Pakistan has been a partner in many ways, it's also true there are elements that have not been good partners with us, says Obama. He refuses to name the elements. 12:10pm: After 26/11, we (US) were as obsessed with dismantling the terror network as India. Terrorism of any sort, directed at any country metastasises. 12:08pm: We worked very hard to get India into the Nuclear Supply Group, we did not get the cooperation of every country, says Barack Obama. 12:03pm: On the nuclear reliability act with India, Barack Obama says his goal was to give US companies an opportunity, not to ensure that their deal goes through. 12 noon: Politicians are often reflections of forces in the society. ' If communities across India say they won't fall prey to division, then it will strengthen the hand of politicians who feel that way: Obama. 11:59am: How did PM Modi respond, asks Karan Thapar. My goal here is not to disclose every private conversation I have. I think his impulses are to recognise Indian unity. I think he (Modi) firmly believes unity is necessary for the progress of the nation, says Obama. 11:58am: Particularly in a country like India, you have such a huge Muslim population that feels integrated. And that is unfortunately not always the case in other countries. That is something that should be cherished and nurtured. 11:56am: It was a message to everyone. I have said the same thing privately to PM Modi. It's happening across the world due to the changes taking place. There's a collision of cultures: Obama explains his previous statements on tolerance and freedom of faith. Obama says his message of diversity in 2015 was for all people; he also mentioned it privately to PM Modi. 11:54am: Ah, no, making a chapati is too hard, says Obama on knowing how to make roti. 11:52am: I'm pretty sure I'm the first US president to have the dal recipe. My chicken is okay, Obama quips. 11:51am: Obama jokes about telling his daughters what Indians think of him after chair Karan Thapar tells him about a research that found majority of Indian citizens think favourably of Obama. 11:50am: If India and US are working together, I believe there is no problem we cannot solve, Obama says, concluding his speech. 11:48am: For those who believe in democracy have to speak out on issues. And that's why I am speaking as a private citizen, says Obama. 11:45am: Obama says he is obsessed about the role of technology in this age of information and its impact on the younger generations. We have to recognise how technology is changing how the youth is consuming information. It is easier to retreat into our bubbles. 11:43am: We have to work in a multilateral manner. I appreciated the critical role PM Modi and India played in forging the Paris climate deal, says Obama. It is a deal even though we have pause in American leadership. 11:41am: We can't pretend automation doesn't exist, we can't ignore globalisation. But we can invest in our people's skills. We still need to do more to close the gap between rich and poor nations: Obama. 11:40am: Modi and I met an unprecedented 9 times. All our challenges will be met when India plays a major role on the world stage: Obama. 11:39am: The partnership between the world's oldest and largest democracies is a defining one, says Obama on India-US ties. There are millions of Indian Americans making extraordinary contributions, building bridge between our countries. America and India are alike being defined by many different languages, dialects genders and orientations. 11:36am: Speaking about the negative impact of technology, Obama says it makes people want to try and find stability amid all the changes. We've gone through moments like this before. It's important for us to push back against the politics of us vs them. We have to build on what is in common between us. Our history together speaks about a common set of values - pluralism and tolerance, a liberal market based order that places primacy on individual rights: 11:34am: The world, by most measures, is less violent than human history although conflict remains: Obama. 11:33am: The international order we have sacrificed so much to retain has become increasingly strained. Globalisation, terrorism, inequality have led to that: Obama. 11:32am: America and India are defined by diversity, Obama says, asserting: We have much in common. 11:31am: Recounting his visits to India, Obama says he was proud to be the only US president to visit India twice while he was in office. Michelle resents that I did not bring her on this trip. 11:30am: Barack Obama begins his speech. It's wonderful to be back in Delhi. 11:25am: Barack Obama arrives at the summit venue. 11:20am: This will be Barack Obama's first address in India since his tenure ended as US president earlier this year. 11:07am: Supermodel Naomi Campbell, Reliance's Mukesh Ambani and Congress vice-president Rahul Gandhi are in attendance. Ambani and Campbell will be speaking after Obama's address on Friday. 11am: The special address by former US president Barack Obama will begin shortly. Highlights from Day 1 of HTLS. Bollywood star Salman Khan was at his witty best despite a sore throat at HTLS 2017. During the final session of Day 1, Khan said he led a very boring life and it was only journalists who made his life sound interesting. Besides that, he waltzed around the bouncers and dodged around difficult questions, clarifying his political correctness at the beginning of the session. On Day 1 of HTLS 2017, founders of three Indian startups discussed their strategies as successful entrepreneurs. Their approaches: a sense of purpose, believing you are Superman, and the ability to juggle ticking time bombs. Speaking at HTLS 2017, finance minister Arun Jaitley said government spending on infrastructure and rural sectors will be the focus areas in next year's Union Budget as he ruled out privatisation of state-run banks. He also hinted that the GST council could consider merging slabs of 12% and 18% into one rate and cutting the number of items taxed at the highest slab of 28%. Cancer specialists Dr Ahutosh K Tewari and Dr Madhav Dhodapkar, at the Hindustan Times Leadership Summit, agreed that lifestyle changes play a major role in preventing the disease. They set the tone for the session, titled 'How to beat cancer', with the suggestion that India should open itself to a more honest conversation on the disease. Regional food, poetry and the changing world food scenario were on the menu as chefs Vikas Khanna and Gaggan Anand cooked up a storm at the 15th edition of the Hindustan Times Leadership Summit on Thursday. Tempered with wit, India's very own Michelin Star chef Khanna and Kolkata-born and Bangkok-based restaurateur Anand had the audience eating out of their hands. The chief executive of Afghanistan, Abdullah Abdullah, thanked New Delhi for its generosity at the 15th Hindustan Times Leadership Summit and said its soft power and collaboration was the reason why India is a rising world power.",http://www.hindustantimes.com/htls/ht-leadership-summit-2017-day-2-live-barack-obama-mukesh-ambani-yogi-adityanath-speak-today/story-5Qqoble01B436gkPKu5WGN.html?utm_campaign=awesummly&utm_source=awesummly
6,Over 50% rape victims in 2016 in Himachal were minors: NCRB,"National Crime Records Bureau has revealed that of the total 258 rape victims in Himachal Pradesh in 2016, 155 were below 18 years of age. According to the data, six victims were below 6 years of age, 13 under 12, 67 below 16, and 69 below 18 years of age. Notably, 99% of the victims were known to the accused.","In Himachal, teenagers have been bearing the brunt of rape as more than 50% victims are below the age of 18. The data compiled by National Crime Record Bureau (NCRB) revealed that of the total 258 rape victims, 148 are teenagers. Also, 99% of the victims are known to the accused. The NCRB data found that six victims were below six years of age, 13 were under 12, 67 below 16, and 69 below 18 years of age. Besides Himachal, Punjab is the only state in north region where almost 50% of the rape victims are minors. Other states, including Jammu and Kashmir, Uttarakhand and Haryana, have lesser number of victims in this age bracket. In 2015 too, 150 of the 284 rape victims in Himachal were below the age of 18, including five below the age of six.",http://www.hindustantimes.com/india-news/more-than-50-rape-victims-in-himachal-pradesh-are-minors/story-9HmOYqdKSDSDbjLcaiRnXI.html?utm_campaign=awesummly&utm_source=awesummly
7,IIT-KGP researchers generate electricity from onion peels,IIT Kharagpur and South Korea-based researchers have developed biodegradable energy harvesters from onion skin waste. The nanogenerators based on piezoelectric effect convert mechanical energy to electrical and can generate power with body movements like tapping of fingers and throat vibrations. The team claims that electricity generated from six peels could charge a laptop or a mobile phone.,"Peeling onions have seldom been a loving task. But now, if you brave the teary eyes and chop some onions, the onion peels will reward you for your courage by producing electricity for your entire home! If this news gives you all the more reason to peel onions then you need to thank IIT Kharagpur for developing this path breaking green technology. The data generated by the researchers of the Material Science Centre (MSC) at IIT Kharagpur will not only encourage you to peel more onions but will encourage you to gather onion peels from places around you! As per research done by Prof Bhanu Bhusan Khatua and his team at MSC, only half an inch of onion peel can be enough to generate 20 volt of electricity! So, if you gather 6 such onion peels and place them in a series then together they can light-up 80 LED's or charge your laptop or mobile phone!",https://www.youtube.com/watch?utm_campaign=awesummly&time_continue=00&utm_source=awesummly&v=aTtlA2FBL7w
8,Scallops have 200 eyes that function like a telescope: Study,"Scallops, known as a seafood delicacy, can have up to 200 eyes that function like a telescope, using layered mirrors to focus light unlike most animal eyes which have lenses, an Israel-based study has revealed. Further, the mirrors tiled with square crystals, form images on a double-layered retina, to separately focus both peripheral and central fields of view, said researchers.","Scallops may look like simple creatures, but the seafood delicacy has 200 eyes that function remarkably like a telescope, using living mirrors to focus light, researchers said Thursday. But scallops have concave mirrors at the back of their eyes. Scientists have known since the 1960s that Pecten scallops see by reflecting light off these concave mirrors onto the retina above, said the report in the journal Science. Some crustaceans and deep sea fish also have eyes like this. But now they have found a way to peer more deeply into these mirrors than ever before, by using a microscope that rapidly freezes samples so they do not get dehydrated and retain their shape. The result is first-ever view of a mosaic of tiny mirrors and crystals, carefully arranged inside scallops' small poppy seed-like eyes which line their outer edge, known as the mantle. Each mirror is layered, reflecting wavelengths of light in their habitat and giving them a spatial view of their surroundings. Each mirror is also tiled with a mosaic of square-shaped crystals, minimizing surface defects for a clearer picture, the Science report said. The mirror forms images on a double-layered retina, to separately image both peripheral and central fields of view. While it is still difficult to know what the world looks like to a scallop, researchers say this well-honed peripheral vision likely helps the scallop control and guide its movement while swimming, enabling it to assess which things around it are static or moving. The findings illustrate scallops' remarkable ability to grow their own complex visual system, and may pave the way for novel bio-inspired optical devices for imaging and sensing applications, the report said. The study was led by researchers at Israel's Weizmann Institute of Science and Lund University in Sweden. Explore further: New mirror reflects light differently than conventional mirrors. More information: BA Palmer el al., The image-forming mirror in the eye of the scallop, Science (2017).",https://phys.org/news/2017-11-scallops-eyes-function-telescope.html?utm_campaign=awesummly&utm_source=awesummly
9,9 killed as burqa-clad Taliban terrorists attack Pak college,At least nine people were killed and over 30 others were injured on Friday after Taliban's gunmen in burqas attacked an agriculture college in the Pakistani city of Peshawar. The security forces killed all the attackers after a gunfight which lasted for over an hour. Pakistani Taliban killed 134 children at Peshawar's Army Public School in 2014.,"Pakistani Taliban gunmen disguised in all-enveloping burqas stormed the campus of an agriculture college in Pakistan on Friday, killing at least nine people and wounding 35, police and hospital officials said. Police and army troops summoned to the scene killed all of the attackers at the Agriculture Training Institute in the northwestern city of Peshawar about two hours into the attack, the military's press wing said. The Pakistani Taliban claimed responsibility, saying in a message from spokesman Mohammad Khorasani that they had targeted a safe house of the military's Inter-Services Intelligence agency. The gunmen arrived at the campus in an auto-rickshaw, disguised in the burqas worn by many women in the region, Peshawar police chief Tahir Khan said. They shot and wounded a guard before entering the campus. A wounded student, Ahteshan ul-Haq, told Reuters the university hostel usually houses nearly 400 students, but most had gone home for a long holiday weekend and only about 120 students remained. We were sleeping when we heard gunshots. I got up and within seconds everybody was running and shouting 'the Taliban have attacked', he said. Shehzad Akbar, medical director of Hayatabad Medical Complex, said six people died of their wounds and 18 were being treated. Another three people died at Khyber Teaching Hospital and 17 wounded were there, director Nekdad Afridi said. In December 2014, Pakistani Taliban gunmen killed 134 children at Peshawar's Army Public School, one of the single deadliest attacks in the country's history. The Pakistani Taliban are fighting to topple the government and install a strict interpretation of Islamic law. They are loosely allied with the Afghan Taliban insurgents who ruled most of Afghanistan until they were overthrown by US-backed military action in 2001. Additional reporting by Asif Shahzad; Writing by Kay Johnson; Editing by Nick Macfie, Robert Birsel.",https://in.reuters.com/article/pakistan-attack/nine-killed-as-taliban-disguised-in-burqas-attack-pakistani-college-idINKBN1DV3Q0?utm_campaign=awesummly&utm_source=awesummly
10,Saudi Arabia intercepts second Yemeni missile in a month,"Saudi Arabia on Thursday intercepted a second ballistic missile fired towards it this month by Yemen's Houthi rebels. The missile was destroyed without causing any casualties, Saudi officials have said. Saudi Arabia has been leading a coalition of Gulf states against Houthi rebels who ousted the pro-Saudi, internationally-recognised government in Yemen in 2015.","A ballistic missile fired by Yemen's armed Houthi group at Saudi Arabia was shot down on Thursday near the south-western city of Khamis Mushait, the Saudi-owned al-Arabiya channel reported. It was the second ballistic missile fired from Yemen this month, after an earlier rocket was brought down near King Khaled Airport on the northern outskirts of the capital Riyadh. A Saudi-led coalition fighting the Houthis in Yemen has closed air, land and sea access in a move it says is meant to stop a flow of Iranian arms to the Houthis, who control much of northern Yemen. The blockade has cut food imports to seven million people on the brink of famine. Air defense intercepted a ballistic missile, fired by the Houthis toward Khamis Mushait, Arabiya said on its Twitter account, without giving details. The Houthis and allied militias loyal to former Yemeni President Ali Abdullah Saleh, who have fired dozens of missiles into Saudi territory during a 2-1/2 year war, said on their official news agency they had launched a mid-range ballistic missile that hit its military target with high precision. SABA, quoting a military source, added the successful test was a new start of locally made missile launches. Saudi Arabia and its allies, who receive logistical and intelligence help from the United States, accuse the Houthis of being a proxy of Iran. The coalition has launched thousands of air strikes against the Houthis who still control much of Yemen's main population centers including the capital Sanaa and the strategic port and city of Hodeidah. The conflict has led to one of the world's worst humanitarian crises and killed at least 10,000 people. Reporting By Aziz El Yaakoubi and Omar Fahmy; editing by Ralph Boulton.",https://www.reuters.com/article/us-yemen-security-saudi/saudi-arabia-intercepts-yemeni-missile-second-in-a-month-idUSKBN1DU2VN?utm_campaign=awesummly&utm_source=awesummly
