,Index,Article,Original Summary,Generated Summary
0,45,"Hyderabad-based drugmaker Dr Reddy's Laboratories Ltd on Wednesday said it had been served a securities class action lawsuit in the US for alleged violations of federal securities laws. The lawsuit, filed in the US district court of New Jersey, seeks damages to compensate investors for a purported decline in Dr Reddy's share price caused by alleged misstatements or omissions by the company. The company is listed on the New York Stock Exchange (NYSE) besides Indian exchanges. Further to our intimation dated August 28, 2017 with regard to US securities class action lawsuit, we would like to inform you that the US securities class action lawsuit has been served on the company in the US by the lead plaintiff, Dr Reddy's said a notice to BSE. In the notice, the company said it believes the asserted claims are without merit and intends to vigorously defend itself against the allegation. In a class action lawsuit, one or several persons sue on behalf of a larger group, referred to as the class, if a dispute is common to all and the number of affected people is large. Shares of Dr Reddy's declined 0.53% to Rs2,276.05 at the close on BSE on Wednesday, a day the benchmark Sensex edged down 0.05% to 33,602.76 points. Dr Reddy's NYSE-listed shares had risen 0.45% to $35.69 as of 10.21am in New York. The suit has been filed on behalf of investors who purchased or acquired Dr Reddy's shares on the NYSE between 17 June 2015 and 10 August 2017. In this period, shares of the company plunged 42.76% on the NYSE to $30.33 apiece. A number of US law firms had in August called upon investors to move class action lawsuits on charges that the company had given misleading statements related to issues of manufacturing compliance at its Indian facilities. According to Vijay Pal Dalmia, senior litigator and partner at law firm Vaish Associates, Dr Reddy's could face serious financial implications. In this particular case there will be a collective liability towards the group of people who purchased the shares between particular dates. This is going to have serious financial consequences on the firm, Dalmia said. An analyst at securities house Prabhudas Lilladher Pvt Ltd said on condition of anonymity that it would be too early to guess a financial loss to the company, while conceding that it's a negative development sentimentally. The tight regulatory vigil by the US FDA has been a cause of concern for the pharmaceutical industry in India. There has been a spurt in negative observations by it recently. Dr Reddy's has constantly been at the receiving end of US FDA interventions. While the Miryalaguda plant was cleared by the US FDA earlier this year, the other two units are still under the scanner. On 6 November, Lupin Ltd received certain observations on its facilities in Goa and Aurangabad from the US drug regulator. The US FDA has also raised concerns about Glenmark Pharmaceuticals Ltd's plant in Baddi, Himachal Pradesh, citing observations relating to violation of good manufacturing practices. The regulator had inspected the Baddi unit during 6-11 November.","Indian drugmaker Dr Reddy's Laboratories said it has been served a class action lawsuit in the US for alleged violation of federal securities laws. The lawsuit alleged the company made materially false and misleading statements in connection with its corporate quality system. The firm said the asserted claims are ""without merit and intends to vigorously defend itself against the allegation"".","former australian batsman matthew hayden has marked up the australian world weightlifting performance in the quarter ended on november 30, 1928. investors to that you has also for the number of a this year's investors to bitcoin's recent price called price called if called educate if this year ended for"
1,70,"Patidar leader Hardik Patel on Wednesday rubbished the BJP's charge that he was a 'Congress agent' and said he was against the ruling party in the state as it had failed to create jobs and education opportunities for the youth. Speaking at the same venue from where Gujarat chief minister Vijay Rupani had addressed a section of Patidars on Tuesday, Hardik said the huge crowd showed who was more popular. Let us show our strength to Vijay Rupani in Rajkot and others in faraway Gandhinagar, he said. Rupani is contesting from Rajkot West assembly constituency and Hardik decided to hold his first rally at an urban centre in his constituency. This was also his last stop in the whirlwind tour of Patidar homeland rural Saurashtra, where he addressed four meetings during the day. Referring to his August, 2015 rally in Rajkot, Hardik recalled how the police had used force against the assembled Patels. He also asked people not to forget and forgive the BJP for committing atrocities on Patidars. In western Rajkot, the venue for the event, most of the posters of local Congress candidate Indranil Rajyaguru were replaced by Hardik's. Several local Congress leaders and Patidar youth wearing caps with the 'Jai Sardar' slogan came to receive the young leader, resulting in a traffic jam on the Nana Mauva Chowk. Bhavesh Patel, 24, explained the reason behind the enthusiasm. The Son of Sardar (Patidar) is coming, he said, referring to Hardik, who had led an agitation demanding reservation in jobs and admissions in educational institutions for his community. Hardik's Patidar Anamat Andolan Samiti (PAAS) has accepted the 20% economically backward classes reservation for Patidars offered by the Congress. They say Hardik is Congress agent, Hardik is opposing the BJP. If my stand against this makes me anti-BJP, then I am, he said. Responding to Hardik, standing committee chairman at the BJP-ruled Rajkot Municipal Corporation, Pragnesh Patel, said the community knew the Congress was behind the Patidar leader's agitation. People will not get fooled,"" he said. As Gujarat gets set to vote, all eyes are on the Patidars who have the ability to influence the result.","Patidar leader Hardik Patel on Wednesday asked the people in Gujarat not to forget and forgive the BJP for the atrocities they committed on Patidars. Dismissing BJP's charge that he's a 'Congress agent', Hardik said he is opposing BJP because Patidars were beaten up and killed and the party failed to create jobs and education opportunities for the youth.","finance minister arun jaitley has alleged that lightweight champion single-day fall in the world youth women boxing championship, with over with over while from the law and order situation, wherein he has to the conor were menlo were them them called lifted being proposals ground sector to you under under"
2,6,"Peeling onions have seldom been a loving task. But now, if you brave the teary eyes and chop some onions, the onion peels will reward you for your courage by producing electricity for your entire home! If this news gives you all the more reason to peel onions then you need to thank IIT Kharagpur for developing this path breaking green technology. The data generated by the researchers of the Material Science Centre (MSC) at IIT Kharagpur will not only encourage you to peel more onions but will encourage you to gather onion peels from places around you! As per research done by Prof Bhanu Bhusan Khatua and his team at MSC, only half an inch of onion peel can be enough to generate 20 volt of electricity! So, if you gather 6 such onion peels and place them in a series then together they can light-up 80 LED's or charge your laptop or mobile phone!",IIT Kharagpur and South Korea-based researchers have developed biodegradable energy harvesters from onion skin waste. The nanogenerators based on piezoelectric effect convert mechanical energy to electrical and can generate power with body movements like tapping of fingers and throat vibrations. The team claims that electricity generated from six peels could charge a laptop or a mobile phone.,"iit kharagpur and south korea-based researchers have developed biodegradable energy harvesters from the state is on thursday to the boxing has also been also said a coalition of the softbank-led team of a rebels who ousted the pro-saudi, internationally-recognised government government government billion, billion, billion, indian indian said. 70 billion,"
3,88,"Developing voice assistant and speech recognition solutions, Chennai-based IT startup Uniphore Software Systems has closed its series B round of funding led by the Executive Chairman of Cisco and the newly made US-India Strategic Partnership Forum (USISPF), John Chambers, in his personal capacity. The round saw participation from other existing investors including IDG Ventures who led the previous round. This is the first startup-investment of Chambers outside the US. Earlier this year, John Chambers was also part of the top 20 American CEOs delegation invited by PM Modi, to invest in India. Uniphore will utilize these new funds to deepen core research driving product enhancement, upgrade its customer service infrastructure, expand its sales reach to newer geographies and recruit new talent to support its rapid growth. Commenting on the fundraise, Umesh Sachdev, cofounder and CEO of Uniphore Software Systems said, We are humbled by John's concurrence to be Chief Guru at Uniphore. It is our good fortune to have an industry veteran like John invest in the future of Uniphore. While John's monetary investment is certainly important to the company, it is his vast and varied experience building a globally leading IT company that adds incalculable value to Uniphore and I am certain that the company will gain immensely from his counsel and guidance. Founded by Ravi Saraogi and Umesh Sachdev in 2008, Uniphore is an IIT Chennai-incubated IT-startup developing solutions in speech analytics and virtual assistant verticals such as auMina and akeira. The startup has now its offices in Chennai, Bengaluru, Singapore and UAE. Speaking of the investment, John Chambers said, I am a big believer in India and its potential for producing globally relevant startups like Uniphore. The company was able to foresee the growing need for deep technology in the area of speech recognition and has innovated ahead of the market to capture this significant opportunity. During my time working with and mentoring Umesh, I have been impressed with his leadership and passion for improving customer experiences, and his ability to build a world-class team of software experts. While the speech analytics and virtual assistant verticals are estimated to touch $10 Bn by 2021 globally, with funds from John Chambers, Uniphore aims to establish an early lead in the segment.","US-based Cisco's Executive Chairman John Chambers has picked 10% stake in Chennai-based IT startup Uniphore, the startup said on Thursday. The Series B funding round also saw participation from existing investors including IDG Ventures. Founded in 2008, the startup offers voice and data technology to provide enterprise-services like banking, insurance, healthcare, education on mobile phones. ","us-based cisco's executive chairman has picked 10% stake in chennai-based it startup said on thursday. its to the amount of the round of the reports that of the softbank-led and has of a major of six in from six peels called banking, proposals which which which to we install maa"
4,99,"At a time when Flipkart's valuation has been marked up by one of its investors Morgan Stanley, the Indian arm of global ecommerce behemoth Amazon has reported over 105% growth in revenue in FY17. As per filings with the Registrar of Companies (RoC), Amazon Seller Services posted a 41% increase in earning to $485.4 Mn during the said period. Amazon Seller Services currently earns through commissions, advertisements and shipping fees. Recently, in the third week of November, Amazon India issued paid-up capital of $2.7 Bn towards its marketplace arm Amazon Seller Services, as per its regulatory filings. The Annual Returns filings include other line items. In addition to earnings from the marketplace and seller commissions, Amazon India currently generates revenue from its Seattle-headquartered parent by way of advertising fees, royalty on sales of Amazon's in-house brands like Kindle and other transactions. As per industry experts, the ecommerce giant's impressive growth can be attributed, in part, to demonetisation which was instituted in November 2016. Speaking on the matter, an online seller on Amazon requesting anonymity said, Last fiscal, the impact on Amazon was across categories -smartphones to electronics to apparel. These are the largest selling and fastest growing segments in e-commerce. According to some, however, Amazon's growth in sales slowed down considerably after the Indian government's Department of Industrial Policy and Promotion (DIPP) cautioned online marketplaces against deep discounting in April 2016. A report by Hong Kong-based Counterpoint Research, for instance, states that the online sales of smartphones and other gadgets stagnated last fiscal after a three-year period of steady growth. Online smartphone sales increase merely by one percent to 32% in 2016, which the study ascribed to demonetisation, lower discounts and uniform pricing across online and offline platforms. Another factor that has contributed to the slowdown pertains to the new FDI guidelines issued by the DIPP last year. Formalised in March 2016, the stricter guidelines on ecommerce dictate: An ecommerce entity would not permit more than 25% of the sales effected through its marketplace from one vendor or their group companies. Ecommerce entities providing marketplace would not directly or indirectly influence the sale price of goods or services and shall maintain level playing field. Consequently, Amazon India's biggest seller Cloudtail stopped the sale of mobile phones on its platform in September 2016. Prior to that, smartphones contributed towards a significant portion of Cloudtail's revenues. As per the earning report posted recently, Cloudtail recorded a 24% jump in its revenue for FY17, showcasing a net revenue of $883.1 Mn. However, this is significantly less compared to the 300% surge to $712 Mn the vendor reported in FY16. Cloudtail currently competes with Flipkart's biggest vendor WS Retail, which posted a net revenue of $2.16 Bn in 2016. The financial report for FY17 has not yet been filed by Flipkart. Most recently, with the implementation of Goods and Services Tax (GST) in April 2017, Amazon India also had to suspend its invite-only Platinum Seller Program (PSP). While changing regulations are making it more difficult for ecommerce platforms to sustain business growth, Amazon remains focussed on its aim to capture the Indian market. To that end, the online marketplace recently doubled its authorized capital to $4.74 Bn, matching its earlier capital commitment of $5 Bn made in June last year. With the goal of getting ahead of rival Flipkart, the company is also doubling down on its efforts to diversify its business. On the one hand, it is getting ready to enter the online food retail and grocery market, while on the other hand, it is eyeing a piece of the Indian digital payments pie with Amazon Pay. The strategy seems to be working, given that it clocked over 105% growth in FY17.","Amazon on Wednesday said that it has more than doubled its business in Indian subsidiary, Amazon Seller Services, with over 105% growth in revenues in the year ended March. The subsidiary posted a 41% increase in earning to $485.4 million during the said period, according to filings. Earlier, Amazon invested over ₹2,900 crore into Amazon Seller Services, as per filings.",reacting to bihar has said that he should not world friend and teammate in the region on thursday to over this comes after that reports that of the sizeable is to doklam. and from a well-managed indian to six called leone called singh...[he] with was to we we install we
5,42,"Finance minister Arun Jaitley on Thursday hinted that tax rates under the goods and services tax (GST) could be rationalized to three slabs as revenues under the new indirect tax regime stabilize. Jaitley indicated the GST Council could consider merging the current slabs of 12% and 18% into one rate and reduce the number of items that are taxed under the highest slab of 28%. We started the rationalization ahead of schedule. We have thinned down the 28% bracket. Going ahead, we will rationalize it further to probably tax only luxury and demerit goods at 28%. We have to maintain revenue neutrality, Jaitley said at the Hindustan Times Leadership Summit. You have 5%, then this 'X' rate after merging 12% and 18% and then the very thin slab of 28%. Eventually that will be the direction, Jaitley said, adding the speed of this rationalization will depend on how revenues pick up. Earlier this month, the GST Council brought down the number of items that are taxed under the 28% slab to 50 from 227, reducing the rate on items ranging from soaps and shampoos to tyre tubes. Besides, a cess is levied on some sin and luxury goods over and above the tax rate of 28%. Jaitley defended the government's decision to bring in multiple tax slabs at the beginning of the implementation of the tax on 1 July. In a highly differentiated society like India, we cannot have a single rate. The Congress party raised this in Parliament, asking for a single rate. GST removed barriers to trade in goods and services across states, subsuming a range of central, state and local taxes and unifying the country into a common market. But its implementation has confronted teething problems, prompting the GST council to make several revisions to address concerns raised by taxpayers. Jaitley pointed out that the government has been able to minimize the inflationary impact because of the multiple rate structure. By this process, we have been able to avoid the inflationary impact. The teething problems are transitional (and not necessarily because of the multiple rate structure, he said.","Finance Minister Arun Jaitley has said GST Council could consider merging slabs of 12% and 18%, and cutting the number of items taxed at 28%. He added that the speed of rationalisation of GST rates will depend on how revenues stabilise. Earlier, GST on 178 goods was reduced to 18% from 28%, leaving only 50 items in the highest slab.","finance minister arun jaitley has said gst council could consider merging slabs of the number of items taxed at 28%. he added that the speed of gst rates will depend on is to karan were reported with this year, with women. false, women. councillor 30 six being under under under"
6,73,"The Income Tax Department has sent a notice to Aam Aadmi Party asking the party to pay Rs 30 crore over alleged violations in its donations. IT department has given AAP a deadline of December 7 to explain the irregularities. Sources in the department told India Today the recovery notice was pertaining to the scrutiny of AAP's donations received in 2014-2015. The department found irregularities in the donations and has deemed it as taxable earnings by the party and not political donations. The party has been asked to to pay a penalty of Rs 30.67 crore. AAP sources said this was a vindictive move by the department under the behest of the Modi Government. They said this was the first time in the history of this country that a political party's donations have been treated as taxable earnings. The first notice for an explanation was sent by the department on November 17, but the party failed to furnish satisfactory answers. Top AAP functionaries said they will not be deterred by this and will take legal recourse against the notice. The party also believed the timing of the notice was suspicious as Delhi Chief Minister Arvind Kejriwal on November 26, AAP's fifth foundation day, appealed to the voters of Gujarat to vote for any candidate who could defeat the BJP in the state.","The Income Tax Department has sent a notice to the AAP, directing it to pay a ₹30.67-crore fine over alleged irregularities in the donations the party had received. Putting the party's undisclosed income at ₹13 crore, the department also pulled it up for not recording full details of the 462 donors who donated ₹6 crore. ","finance minister arun jaitley has said one should be triggered to the world which is topped by the region on thursday. six victims were below the law and the softbank-led has bhansali in the major losers, in six six six six six six peels singh...[he] which billion, billion, billion, billion,"
7,61,"Former India captain Bishan Singh Bedi feels that one should not narrow down the meaning of patriotism by politicising bilateral cricketing relationship with Pakistan. The Indian government has not given any go-ahead to Indo-Pak bilateral series since the last one was held in India in 2012. Since then, India have played against Pakistan only in ICC events. Cricket is a platform to come closer, Bedi, whose penchant for plain speaking is legendary, told PTI during an interaction on the sidelines of an annual DDCA Conclave. Asked if patriotism in the current social scenario is intrinsically linked to being anti-Pakistan, one of the finest left-arm spinners of all time, said: This is not right. I am not talking anti-India if I am asking for a cricket series with Pakistan. One of the staunchest critics of BCCI, Bedi wants the word 'control' to be removed from 'Board of Control for Cricket in India' as it stinks of autocratic, dictatorial mindset. The national logo has to be worn by the Indian team and not the BCCI logo. I am very clear in my mind. The players are not playing for BCCI but are playing for India. New Zealand and Australia have national emblems. Even Pakistan and Bangladesh wear national emblems. Indian Cricket Board (ICB) or Cricket India should be the name, said the 71-year-old. Bedi also questioned the context of a series like the one India is currently playing against Sri Lanka, which is turning out to be a virtual no contest. We are just playing them time and again. We thrashed them in their backyard and now we are thrashing them here also. At least let's have some contest. Had this Sri Lanka tour not happened, the boys would have played Ranji Trophy. May be had a camp also for preparation before going to South Africa. That's the camp Virat was referring to.","Ex-India captain Bishan Singh Bedi has said one should not ""narrow down the meaning of patriotism"" by politicising bilateral cricketing relationship with Pakistan. ""Why politicise cricket? Have you been able to wipe off terrorism by not playing cricket? Cricket is a platform to come closer,"" Bedi added. He further said Indian team should wear national logo instead of BCCI logo.","ex-india captain bishan singh bedi has said that he would not be triggered to the bilateral in the june quarter, government data showed on thursday. to do the law and order to someone for a major losers, with six six peels called being called being if if 'halla for this"
8,66,"The income-tax department has issued a Rs 30-crore notice to the Aam Aadmi party (AAP) for allegedly violating norms on collecting donations, including hawala entries worth Rs 2 crore. The order for tax assessment issued this November 23 sought the party's explanation by December 7, saying it incorrectly disclosed hawala money as voluntary donations. The AAP said the order was bogus and accused the people who run the country of muzzling the voice of Delhi's ruling party. The reference was to the BJP-led government at the Centre, with whom the AAP has a running dispute over administrative control of Delhi. The income-tax department declared all donations to the AAP in 2014-2015 as illegal, revoking tax exemptions given to it as a political party. The order came with the penalty notice for allegedly concealing its correct income, news agency PTI reported. The party has also been charged with not correctly reporting political donations received by it as stipulated under the Representation of the People Act. Tax officials said the AAP was given 34 opportunities to explain its overseas donations, especially around Rs 13.16 crore it received from supporters from overseas before the 2015 Delhi elections. The party allegedly did not disclose before the Election Commission details of Rs 6.26 crore donated by 461 donors - each donation exceeding Rs 20,000 - during the election campaign. It has been alleged that details of donations worth Rs 36.95 crore were not uploaded online and the party did not declare Rs 29.13 crore in documents submitted to the poll panel. The AAP's total taxable income for 2014-2015 was Rs 68.44 crore, according to the tax notice. The corresponding income tax was pegged at Rs 30.67 crore. Delhi chief minister and AAP national convenor, Arvind Kejriwal, responded to the notice as a case of political vendetta. All these were accounted for and shown in books of accounts, Kejriwal said in a tweet. AAP treasurer Deepak Bajpai called it a malicious attempt to target the party, though each penny that we get is accounted for. Delhi BJP leader Vijender Gupta called the income tax notice a scathing but unequivocal indictment of AAP's duplicity and unethical behaviour.","As the Aam Aadmi Party was fined ₹30 crore over irregularities in overseas donations, the Income Tax Department has revealed that the party was given 34 opportunities to explain its stance. The department claimed the party failed to account for the ₹13 crore it received from its overseas donors before the 2015 Delhi election.",as the aam aadmi party was fined ₹30 crore over irregularities in the world and bharat has the team of november who have stopped then. it was too to the law and order was also with others with others with age. with age. with age. age. his hospital age. with
9,19,"Heavy rains and gushing winds hammered the southern coast of Tamil Nadu and Kerala on Thursday as a deep depression in the Bay of Bengal turned into a cyclone named Ockhi, leaving behind a trail of destruction. While four deaths were reported in Tamil Nadu, four people were killed in Kerala. Sources said the strong winds uprooted several trees that fell on vehicles and houses, killing five people while two died after touching live wires in Thiruvananthapuram's Kattakada. Authorities said the toll was likely to go up as snapped communication networks had cut off several areas. At least 12 fishing boats set off to the seas from Thiruvananthapuram and Kollam coasts on Wednesday night are reported to be missing. Navy helicopters have begun search operations to locate the missing fishermen. The National Disaster Response Force (NDRF) and army personnel are on standby as heavy rains and winds are expected to continue for the next 12 hours. Met department officials said the deep depression took a cyclonic proportion in the early hours of Thursday and centered around 185km north-west of Galle in Sri Lanka and 200km south-east of Kanyakumari. Moving towards Lakshadweep, the intensity of the cyclone will slow down after the landfall, they said. Named Ockhi - a contribution of Bangladesh - the cyclone can generate winds between 100-160 kmph when it hits the land. Chief minister Pinarayi Vijayan has called an emergency cabinet meeting to take stock of the situation. The Kerala State Disaster Management Authority has asked civic bodies to be ready for rescue operations. Kerala police chief Loknath Behra said cops had started evacuating people from low-lying areas. Railways have cancelled at least 12 trains and educational institutions have been asked to shut down in three districts of south Kerala. Heavy rains also triggered landslides in several high-range areas. The Congress has cancelled the mega rally in the state capital on Friday, which was to be inaugurated by its vice president Rahul Gandhi, in view of the inclement weather conditions. High tides swept away a major portion of the Shangumugam beach, the venue of the rally.","At least four people in Tamil Nadu and four in Kerala have died after Cyclone 'Ockhi' hit the region on Thursday. A search has also been launched to locate over 12 boats that had gone to the sea and are missing. Over 845 people have been evacuated from parts of Tamil Nadu's Kanyakumari district, where 16 houses were completely destroyed.",at least four people in tamil nadu and four in kerala have died after cyclone region on thursday. a search has also been launched to the sea and are missing. over 845 people in parts from parts qr with with six peels with indian cricket. indian idea idea if called
